index,date,total
0,1/23/20,591
1,1/24/20,866
2,1/25/20,1339
3,1/26/20,2036
4,1/27/20,2826
5,1/28/20,4601
6,1/29/20,6082
7,1/30/20,7838
8,1/31/20,9855
9,2/1/20,11966
10,2/2/20,14572
11,2/3/20,17408
12,2/4/20,20663
13,2/5/20,24597
14,2/6/20,28315
15,2/7/20,31471
16,2/8/20,34874
17,2/9/20,37538
18,2/10/20,40531
19,2/11/20,43015
20,2/12/20,45051
21,2/13/20,60220
22,2/14/20,64291
23,2/15/20,66950
24,2/16/20,68987
25,2/17/20,71047
26,2/18/20,72957
27,2/19/20,74757
28,2/20/20,75181
29,2/21/20,76179
30,2/22/20,77245
31,2/23/20,78218
32,2/24/20,78736
33,2/25/20,79523
34,2/26/20,80388
35,2/27/20,81495
36,2/28/20,82747
37,2/29/20,84650
38,3/1/20,86443
39,3/2/20,88475
40,3/3/20,90415
41,3/4/20,92832
42,3/5/20,95334
43,3/6/20,98300
44,3/7/20,102196
45,3/8/20,106219
46,3/9/20,110289
47,3/10/20,115170
48,3/11/20,120830
49,3/12/20,129318
50,3/13/20,139235
51,3/14/20,150910
52,3/15/20,164174
53,3/16/20,177133
54,3/17/20,193520
55,3/18/20,213014
56,3/19/20,237276
57,3/20/20,265908
58,3/21/20,299000
59,3/22/20,334710
60,3/23/20,367853
61,3/24/20,408389
62,3/25/20,455615
63,3/26/20,506950
64,3/27/20,566848
65,3/28/20,633601
66,3/29/20,700232
67,3/30/20,758089
68,3/31/20,822149
69,4/1/20,889805
70,4/2/20,963382
71,4/3/20,1040572
72,4/4/20,1121773
73,4/5/20,1201327
74,4/6/20,1272361
75,4/7/20,1339771
76,4/8/20,1416474
77,4/9/20,1496476
78,4/10/20,1583171
79,4/11/20,1670492
80,4/12/20,1753006
81,4/13/20,1826180
82,4/14/20,1892290
83,4/15/20,1962874
84,4/16/20,2037689
85,4/17/20,2116676
86,4/18/20,2199915
87,4/19/20,2281591
88,4/20/20,2353887
89,4/21/20,2425352
90,4/22/20,2500179
91,4/23/20,2576197
92,4/24/20,2657332
93,4/25/20,2754369
94,4/26/20,2837426
95,4/27/20,2917159
96,4/28/20,2986681
97,4/29/20,3057180
98,4/30/20,3134146
99,5/1/20,3215563
100,5/2/20,3303957
101,5/3/20,3392024
102,5/4/20,3471970
103,5/5/20,3550980
104,5/6/20,3628272
105,5/7/20,3711140
106,5/8/20,3800018
107,5/9/20,3891575
108,5/10/20,3982702
109,5/11/20,4070291
110,5/12/20,4143292
111,5/13/20,4223471
112,5/14/20,4309995
113,5/15/20,4396947
114,5/16/20,4498659
115,5/17/20,4597610
116,5/18/20,4693690
117,5/19/20,4772820
118,5/20/20,4867072
119,5/21/20,4971119
120,5/22/20,5079003
121,5/23/20,5185350
122,5/24/20,5294582
123,5/25/20,5391897
124,5/26/20,5485137
125,5/27/20,5575018
126,5/28/20,5674626
127,5/29/20,5782693
128,5/30/20,5902889
129,5/31/20,6023760
130,6/1/20,6150989
131,6/2/20,6259925
132,6/3/20,6359045
133,6/4/20,6483509
134,6/5/20,6610432
135,6/6/20,6737537
136,6/7/20,6869410
137,6/8/20,6995064
138,6/9/20,7104839
139,6/10/20,7214203
140,6/11/20,7346476
141,6/12/20,7487203
142,6/13/20,7628989
143,6/14/20,7773273
144,6/15/20,7905718
145,6/16/20,8025032
146,6/17/20,8149212
147,6/18/20,8332622
148,6/19/20,8480666
149,6/20/20,8624663
150,6/21/20,8807095
151,6/22/20,8961957
152,6/23/20,9093187
153,6/24/20,9235070
154,6/25/20,9408984
155,6/26/20,9589220
156,6/27/20,9775469
157,6/28/20,9969040
158,6/29/20,10147709
159,6/30/20,10306622
160,7/1/20,10477213
161,7/2/20,10662633
162,7/3/20,10874859
163,7/4/20,11089605
164,7/5/20,11304419
165,7/6/20,11495877
166,7/7/20,11664020
167,7/8/20,11841537
168,7/9/20,12057565
169,7/10/20,12284650
170,7/11/20,12508833
171,7/12/20,12743613
172,7/13/20,12963296
173,7/14/20,13158928
174,7/15/20,13353982
175,7/16/20,13588044
176,7/17/20,13834608
177,7/18/20,14082766
178,7/19/20,14330692
179,7/20/20,14562329
180,7/21/20,14769386
181,7/22/20,14981212
182,7/23/20,15232310
183,7/24/20,15524630
184,7/25/20,15808900
185,7/26/20,16084357
186,7/27/20,16338147
187,7/28/20,16555469
188,7/29/20,16786308
189,7/30/20,17050046
190,7/31/20,17352432
191,8/1/20,17644238
192,8/2/20,17930967
193,8/3/20,18188509
194,8/4/20,18414213
195,8/5/20,18636349
196,8/6/20,18911502
197,8/7/20,19204366
198,8/8/20,19487352
199,8/9/20,19777586
200,8/10/20,20040791
201,8/11/20,20263321
202,8/12/20,20496766
203,8/13/20,20792815
204,8/14/20,21084872
205,8/15/20,21382596
206,8/16/20,21670262
207,8/17/20,21925056
208,8/18/20,22148940
209,8/19/20,22385170
210,8/20/20,22669452
